timestamp,flag,source,destination,qname,type,ttl,transaction ID
17:14:45,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,profile.accounts.firefox.com.,A,12,24846
17:14:46,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,sync-1-us-west1-g.sync.services.mozilla.com.,A,,22174
17:14:46,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,sync-1-us-west1-g.sync.services.mozilla.com.,AAAA,,45956
17:14:46,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,sync-1-us-west1-g.sync.services.mozilla.com.,AAAA,11,45956
17:14:46,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,sync-1-us-west1-g.sync.services.mozilla.com.,A,11,22174
17:14:49,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,accounts.youtube.com.,A,,20125
17:14:49,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,accounts.youtube.com.,AAAA,,24301
17:14:49,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,accounts.youtube.com.,HTTPS,,48875
17:14:49,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,accounts.youtube.com.,AAAA,169,24301
17:14:49,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,accounts.youtube.com.,A,169,20125
17:14:49,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,accounts.youtube.com.,HTTPS,169,48875
17:14:49,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,www3.l.google.com.,HTTPS,,45496
17:14:49,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,www3.l.google.com.,HTTPS,20,45496
17:14:54,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,cdn.fwupd.org.,A,,24329
17:14:54,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,cdn.fwupd.org.,AAAA,,10074
17:14:54,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,cdn.fwupd.org.,AAAA,300,10074
17:14:54,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,cdn.fwupd.org.,A,300,24329
17:15:02,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,api.epicgames.dev.,A,,4080
17:15:02,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,api.epicgames.dev.,AAAA,,59172
17:15:02,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,api.epicgames.dev.,A,58,4080
17:15:02,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,api.epicgames.dev.,AAAA,58,59172
17:15:02,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,eos-gateway-ingressv2-prod-c1-w2.befa.live.use1a.on.epicgames.com.,AAAA,,15396
17:15:02,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,eos-gateway-ingressv2-prod-c1-w2.befa.live.use1a.on.epicgames.com.,AAAA,735,15396
17:15:13,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,incoming.telemetry.mozilla.org.,A,,36289
17:15:13,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,incoming.telemetry.mozilla.org.,AAAA,,14953
17:15:13,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,incoming.telemetry.mozilla.org.,A,29,36289
